date,game_no,vis,home,,temp,wind_speed,conditions,percip
5/6/1990,2,HOU,NYN,329992HOUNYN,64,13,sunny,no precipitation
5/6/1990,0,BOS,OAK,329990BOSOAK,63,null,sunny,no precipitation
5/6/1990,0,LAN,PHI,329990LANPHI,65,null,cloudy,no precipitation
5/6/1990,1,ATL,PIT,329991ATLPIT,58,6,cloudy,showers
5/6/1990,2,ATL,PIT,329992ATLPIT,null,null,unknown,null
5/6/1990,0,BAL,SEA,329990BALSEA,72,null,in dome,null
5/6/1990,0,CIN,SLN,329990CINSLN,68,6,cloudy,no precipitation
5/6/1990,0,DET,TOR,329990DETTOR,70,null,in dome,null
5/7/1990,0,BAL,ANA,330000BALCAL,75,10,night,no precipitation
5/7/1990,0,ATL,CHN,330000ATLCHN,75,null,night,no precipitation
5/7/1990,0,KCA,CLE,330000KCACLE,70,null,night,no precipitation
5/7/1990,0,DET,MIL,330000DETMIL,76,22,null,null
5/7/1990,0,SFN,MON,330000SFNMON,null,null,in dome,null
5/7/1990,0,HOU,NYN,330000HOUNYN,60,null,night,no precipitation
5/7/1990,0,NYA,OAK,330000NYAOAK,67,null,night,no precipitation
5/7/1990,0,SDN,PIT,330000SDNPIT,null,null,unknown,null
5/7/1990,0,BOS,SEA,330000BOSSEA,null,0,in dome,null
5/7/1990,0,CIN,SLN,330000CINSLN,81,14,night,no precipitation
5/7/1990,0,CHA,TOR,330000CHATOR,70,null,in dome,null
5/8/1990,0,BAL,ANA,330010BALCAL,null,null,night,no precipitation
5/8/1990,0,ATL,CHN,330010ATLCHN,77,25,sunny,no precipitation
5/8/1990,0,PHI,HOU,330010PHIHOU,72,0,night,no precipitation
5/8/1990,0,DET,MIL,330010DETMIL,75,13,night,null
5/8/1990,0,CLE,MIN,330010CLEMIN,null,null,unknown,null
5/8/1990,0,LAN,MON,330010LANMON,null,0,in dome,null
5/8/1990,0,SFN,NYN,330010SFNNYN,63,null,night,no precipitation
5/8/1990,0,NYA,OAK,330010NYAOAK,65,11,sunny,no precipitation
5/8/1990,0,SDN,PIT,330010SDNPIT,null,null,night,no precipitation
5/8/1990,0,BOS,SEA,330010BOSSEA,null,null,in dome,null
5/8/1990,0,KCA,TEX,330010KCATEX,79,null,night,no precipitation
